index	group	family	subfamily	protein	uniprot	protein_name	gene_synonyms	protein_alternative_names	function
46	GT-A	GT27	GT27-1	GALNT13	Q8IUC8	Polypeptide N-acetylgalactosaminyltransferase 13	KIAA1918	Polypeptide GalNAc transferase 13;Protein-UDP acetylgalactosaminyltransferase 13;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 13	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine (GalNAc) residue from UDP-GalNAc to a serine or threonine residue on the protein receptor (PubMed:12407114, PubMed:22186971). Generates GalNAc-O-Ser/Thr structure also known as Tn antigen, which itself is immunogenic but also serves as a precursor for the synthesis of different mucin-type O-glycan core structures (PubMed:12407114). Contributes to the synthesis of O-linked glycans on mucins and proteoglycans of the central nervous system. May promote neurogenesis through glycosylation and stabilization of PDPN (By similarity) (PubMed:12407114, PubMed:22186971);Can glycosylate both unmodified peptides and glycopeptides that already contain an O-linked GalNAc sugar. Transfers GalNAc to Thr-/Ser-rich tandem repeats GTTPSPVPTTSTTSAP of MUC5AC, specifically on Thr-3 of non-glycosylated MUC5AC peptide, on Thr-12 and Thr-13 of preglycosylated MUC5AC at Thr-3 (MUC5AC-3), on Thr-3 of preglycosylated MUC5AC at Thr-13 (MUC5AC-13) and on Thr-12 of preglycosylated MUC5AC at Thr-3 and Thr-13 (MUC5AC-3,13). Transfers GalNAc to three consecutive serine/threonine residues on SDC3 forming a triplet-Tn epitope expressed in Purkinje cells of the developing brain;Can glycosylate both unmodified peptides and glycopeptides that already contain an O-linked GalNAc sugar. Transfers GalNAc to Thr-/Ser-rich tandem repeats GTTPSPVPTTSTTSAP of MUC5AC, specifically on Thr-3 of non-glycosylated MUC5AC peptide, on Thr-12 and Thr-13 of preglycosylated MUC5AC at Thr-3 (MUC5AC-3), on Thr-3 of preglycosylated MUC5AC at Thr-13 (MUC5AC-13) and on Thr-12 of preglycosylated MUC5AC at Thr-3 and Thr-13 (MUC5AC-3,13)
47	GT-A	GT27	GT27-1	GALNT6	Q8NCL4	Polypeptide N-acetylgalactosaminyltransferase 6		Polypeptide GalNAc transferase 6;Protein-UDP acetylgalactosaminyltransferase 6;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 6	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor (PubMed:10464263, PubMed:31932717). May participate in synthesis of oncofetal fibronectin (PubMed:10464263). Has activity toward MUC1A, MUC2, EA2 and fibronectin peptides (PubMed:10464263). Glycosylates FGF23 (PubMed:31932717)
48	GT-A	GT27	GT27-1	GALNT8	Q9NY28	Probable polypeptide N-acetylgalactosaminyltransferase 8		Polypeptide GalNAc transferase 8;Protein-UDP acetylgalactosaminyltransferase 8;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 8	Probably catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor
49	GT-A	GT31-Chsy	GT31-Chsy-1	CHSY1	Q86X52	Chondroitin sulfate synthase 1	CHSY;CSS1;KIAA0990	Chondroitin glucuronyltransferase 1;Chondroitin synthase 1;Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase 1;N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 1;N-acetylgalactosaminyltransferase 1	Has both beta-1,3-glucuronic acid and beta-1,4-N-acetylgalactosamine transferase activity. Transfers glucuronic acid (GlcUA) from UDP-GlcUA and N-acetylgalactosamine (GalNAc) from UDP-GalNAc to the non-reducing end of the elongating chondroitin polymer. Involved in the negative control of osteogenesis likely through the modulation of NOTCH signaling
50	GT-A	GT31-Chsy	GT31-Chsy-1	CHSY3	Q70JA7	Chondroitin sulfate synthase 3	CHSY2;CSS3	Carbohydrate synthase 2;Chondroitin glucuronyltransferase 3;Chondroitin synthase 2;Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II;N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 3;N-acetylgalactosaminyltransferase 3	Has both beta-1,3-glucuronic acid and beta-1,4-N-acetylgalactosamine transferase activity. Transfers glucuronic acid (GlcUA) from UDP-GlcUA and N-acetylgalactosamine (GalNAc) from UDP-GalNAc to the non-reducing end of the elongating chondroitin polymer. Specific activity is much reduced compared to CHSY1
51	GT-A	GT31-Chsy	GT31-Chsy-2	CHPF	Q8IZ52	Chondroitin sulfate synthase 2	CSS2	Chondroitin glucuronyltransferase 2;Chondroitin-polymerizing factor;Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II;N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II;N-acetylgalactosaminyltransferase 2	Has both beta-1,3-glucuronic acid and beta-1,4-N-acetylgalactosamine transferase activity. Transfers glucuronic acid (GlcUA) from UDP-GlcUA and N-acetylgalactosamine (GalNAc) from UDP-GalNAc to the non-reducing end of the elongating chondroitin polymer. Seems to act as a specific activating factor for CHSY1 in chondroitin polymerization (PubMed:12716890);May facilitate PRKN transport into the mitochondria. In collaboration with PRKN, may enhance cell viability and protect cells from oxidative stress
52	GT-A	GT31-Chsy	GT31-Chsy-2	CHPF2	Q9P2E5	Chondroitin sulfate glucuronyltransferase	CHSY3;CSGLCAT;KIAA1402	CSGlcA-T;Chondroitin glucuronyltransferase;Chondroitin polymerizing factor 2;Chondroitin synthase 3;N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase	Transfers glucuronic acid (GlcUA) from UDP-GlcUA to N-acetylgalactosamine residues on the non-reducing end of the elongating chondroitin polymer. Has no N-acetylgalactosaminyltransferase activity
53	GT-A	GT31-Euk	GT31-67_Mix	B3GALNT2	Q8NCR0	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2		Beta-1,3-N-acetylgalactosaminyltransferase II	Beta-1,3-N-acetylgalactosaminyltransferase that synthesizes a unique carbohydrate structure, GalNAc-beta-1-3GlcNAc, on N- and O-glycans. Has no galactose nor galactosaminyl transferase activity toward any acceptor substrate. Involved in alpha-dystroglycan (DAG1) glycosylation: acts coordinately with GTDC2/POMGnT2 to synthesize a GalNAc-beta3-GlcNAc-beta-terminus at the 4-position of protein O-mannose in the biosynthesis of the phosphorylated O-mannosyl trisaccharide (N-acetylgalactosamine-beta-3-N-acetylglucosamine-beta-4-(phosphate-6-)mannose), a carbohydrate structure present in alpha-dystroglycan, which is required for binding laminin G-like domain-containing extracellular proteins with high affinity
54	GT-A	GT31-Fringe	GT31-Fringe-1	MFNG	O00587	Beta-1,3-N-acetylglucosaminyltransferase manic fringe		O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	Glycosyltransferase that initiates the elongation of O-linked fucose residues attached to EGF-like repeats in the extracellular domain of Notch molecules (By similarity). Modulates NOTCH1 activity by modifying O-fucose residues at specific EGF-like domains resulting in inhibition of NOTCH1 activation by JAG1 and enhancement of NOTCH1 activation by DLL1 via an increase in its binding to DLL1 (By similarity)
55	GT-A	GT31-Fringe	GT31-Fringe-1	RFNG	Q9Y644	Beta-1,3-N-acetylglucosaminyltransferase radical fringe		O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	Glycosyltransferase that initiates the elongation of O-linked fucose residues attached to EGF-like repeats in the extracellular domain of Notch molecules. Modulates NOTCH1 activity by modifying O-fucose residues at specific EGF-like domains resulting in enhancement of NOTCH1 activation by DLL1 and JAG1. May be involved in limb formation and in neurogenesis
56	GT-A	GT31-Fringe	GT31-Fringe-1	LFNG	Q8NES3	Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe		O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	Glycosyltransferase that initiates the elongation of O-linked fucose residues attached to EGF-like repeats in the extracellular domain of Notch molecules. Modulates NOTCH1 activity by modifying O-fucose residues at specific EGF-like domains resulting in inhibition of NOTCH1 activation by JAG1 and enhancement of NOTCH1 activation by DLL1 via an increase in its binding to DLL1 (By similarity). Decreases the binding of JAG1 to NOTCH2 but not that of DLL1 (PubMed:11346656). Essential mediator of somite segmentation and patterning (By similarity)
57	GT-A	GT31-Galt-Gnt	GT31-67_Mix	B3GALT1	Q9Y5Z6	Beta-1,3-galactosyltransferase 1		UDP-galactose:beta-N-acetyl-glucosamine-beta-1,3-galactosyltransferase 1	Beta-1,3-galactosyltransferase that transfers galactose from UDP-alpha-D-galactose to substrates with a terminal beta-N-acetylglucosamine (beta-GlcNAc) residue. Involved in the biosynthesis of the carbohydrate moieties of glycolipids and glycoproteins. Inactive towards substrates with terminal alpha-N-acetylglucosamine (alpha-GlcNAc) or alpha-N-acetylgalactosamine (alpha-GalNAc) residues
58	GT-A	GT31-Galt-Gnt	GT31-67_Mix	B3GALNT1	O75752	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1	B3GALT3	Beta-1,3-galactosyltransferase 3;Beta-3-Gx-T3;Galactosylgalactosylglucosylceramide beta-D-acetyl-galactosaminyltransferase;Globoside synthase;UDP-N-acetylgalactosamine:globotriaosylceramide beta-1,3-N-acetylgalactosaminyltransferase	Transfers N-acetylgalactosamine onto globotriaosylceramide (PubMed:10993897). Plays a critical role in preimplantation stage embryonic development (By similarity)
59	GT-A	GT31-Galt-Gnt	GT31-67_Mix	B3GALT2	O43825	Beta-1,3-galactosyltransferase 2		UDP-galactose:2-acetamido-2-deoxy-D-glucose 3beta-galactosyltransferase 2	Beta-1,3-galactosyltransferase that transfers galactose from UDP-galactose to substrates with a terminal beta-N-acetylglucosamine (beta-GlcNAc) residue. Can also utilize substrates with a terminal galactose residue, albeit with lower efficiency. Involved in the biosynthesis of the carbohydrate moieties of glycolipids and glycoproteins. Inactive towards substrates with terminal alpha-N-acetylglucosamine (alpha-GlcNAc) or alpha-N-acetylgalactosamine (alpha-GalNAc) residues
60	GT-A	GT31-Galt-Gnt	GT31-67_Mix	B3GNT2	Q9NY97	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2	B3GALT7;B3GNT1	Beta-1,3-N-acetylglucosaminyltransferase 1;Beta-1,3-galactosyltransferase 7;Beta-3-Gx-T7;UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 7;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2;UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 7	Beta-1,3-N-acetylglucosaminyltransferase involved in the synthesis of poly-N-acetyllactosamine. Catalyzes the initiation and elongation of poly-N-acetyllactosamine chains. Shows a marked preference for Gal(beta1-4)Glc(NAc)-based acceptors (PubMed:9892646). Probably constitutes the main polylactosamine synthase
61	GT-A	GT31-Galt-Gnt	GT31-67_Mix	B3GNT3	Q9Y2A9	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3	B3GALT8;TMEM3	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase;Beta-1,3-galactosyltransferase 8;Beta-3-Gx-T8;Core 1 extending beta-1,3-N-acetylglucosaminyltransferase;Core1-beta3GlcNAcT;Transmembrane protein 3;UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 8;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3;UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 8	Beta-1,3-N-acetylglucosaminyltransferase involved in the synthesis of poly-N-acetyllactosamine. Has activity for type 2 oligosaccharides (PubMed:11042166). Also acts as a core1-1,3-N-acetylglucosaminyltransferase (Core1-beta3GlcNAcT) to form the 6-sulfo sialyl Lewis x on extended core1 O-glycans (PubMed:11439191)
62	GT-A	GT31-Galt-Gnt	GT31-67_Mix	B3GNT7	Q8NFL0	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7			N-acetyl glucosamine (GlcNAc) transferase that catalyzes the transfer of GlcNAc via a beta1->3 linkage from UDP-GlcNAc to the non-reducing terminal galactose (Gal) in the linearly growing chain of N- and O-linked keratan sulfate proteoglycans. Cooperates with B4GALT4 galactosyltransferase and CHST6 and CHST1 sulfotransferases to construct and elongate mono- and disulfated disaccharide units [->3Galbeta1->4(6-sulfoGlcNAcbeta)1->] and [->3(6-sulfoGalbeta)1->4(6-sulfoGlcNAcbeta)1->] within keratan sulfate polymer (PubMed:14706853, PubMed:17690104). Involved in biosynthesis of N-linked keratan sulfate proteoglycans in cornea, with an impact on proteoglycan fibril organization and corneal transparency (By similarity) (PubMed:17690104). May play a role in the maintenance of tissue architecture by suppressing cellular motility and invasion (By similarity)
63	GT-A	GT31-Galt-Gnt	GT31-67_Mix	B3GNT8	Q7Z7M8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	B3GALT7;BGALT15		Beta-1,3-N-acetylglucosaminyltransferase that plays a role in the elongation of specific branch structures of multiantennary N-glycans. Has strong activity towards tetraantennary N-glycans and 2,6 triantennary glycans
64	GT-A	GT31-Galt-Gnt	GT31-67_Mix	B3GNT9	Q6UX72	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9			
65	GT-A	GT31-Galt-Gnt	GT31-67_Mix	B3GALT5	Q9Y2C3	Beta-1,3-galactosyltransferase 5		Beta-3-Gx-T5;UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 5;UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 5	Catalyzes the transfer of Gal to GlcNAc-based acceptors with a preference for the core3 O-linked glycan GlcNAc(beta1,3)GalNAc structure. Can use glycolipid LC3Cer as an efficient acceptor
66	GT-A	GT31-Galt-Gnt	GT31-67_Mix	B3GNT4	Q9C0J1	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4		UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	Beta-1,3-N-acetylglucosaminyltransferase involved in the synthesis of poly-N-acetyllactosamine. Has activity for type 2 oligosaccharides
67	GT-A	GT31-Galt-Gnt	GT31-67_Mix	B3GNT5	Q9BYG0	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase		Lactotriaosylceramide synthase;UDP-GlcNAc:beta-Gal beta-1,3-N-acetylglucosaminyltransferase 5	Beta-1,3-N-acetylglucosaminyltransferase that plays a key role in the synthesis of lacto- or neolacto-series carbohydrate chains on glycolipids, notably by participating in biosynthesis of HNK-1 and Lewis X carbohydrate structures. Has strong activity toward lactosylceramide (LacCer) and neolactotetraosylceramide (nLc(4)Cer; paragloboside), resulting in the synthesis of Lc(3)Cer and neolactopentaosylceramide (nLc(5)Cer), respectively. Probably plays a central role in regulating neolacto-series glycolipid synthesis during embryonic development
68	GT-A	GT31-Galt-Gnt	GT31-67_Mix	B3GNT6	Q6ZMB0	Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase		Core 3 synthase;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6	Beta-1,3-N-acetylglucosaminyltransferase that synthesizes the core 3 structure of the O-glycan, an important precursor in the biosynthesis of mucin-type glycoproteins. Plays an important role in the synthesis of mucin-type O-glycans in digestive organs
69	GT-A	GT31-Galt-Gnt	GT31-67_Mix	B3GALT4	O96024	Beta-1,3-galactosyltransferase 4	GALT4	Gal-T2;Ganglioside galactosyltransferase;UDP-galactose:beta-N-acetyl-galactosamine-beta-1,3-galactosyltransferase	Involved in GM1/GD1B/GA1 ganglioside biosynthesis
70	GT-A	GT31-Galt-Gnt	GT31-Mix-1	B3GALT6	Q96L58	Beta-1,3-galactosyltransferase 6		GAG GalTII;Galactosyltransferase II;Galactosylxylosylprotein 3-beta-galactosyltransferase;UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6	Beta-1,3-galactosyltransferase that transfers galactose from UDP-galactose to substrates with a terminal beta-linked galactose residue. Has a preference for galactose-beta-1,4-xylose that is found in the linker region of glycosaminoglycans, such as heparan sulfate and chondroitin sulfate. Has no activity towards substrates with terminal glucosamine or galactosamine residues
71	GT-A	GT31-Glt	GT31-Glt_B3GLCT	B3GLCT	Q6Y288	Beta-1,3-glucosyltransferase	B3GALTL;B3GTL	Beta 3-glucosyltransferase;Beta-3-glycosyltransferase-like	O-glucosyltransferase that transfers glucose toward fucose with a beta-1,3 linkage. Specifically glucosylates O-linked fucosylglycan on TSP type-1 domains of proteins, thereby contributing to elongation of O-fucosylglycan
72	GT-A	GT31-Glt	GT31-Glt_C1GALT	C1GALT1	Q9NS00	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1		B3Gal-T8;Core 1 O-glycan T-synthase;Core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase 1;Core 1 beta1,3-galactosyltransferase 1	Glycosyltransferase that generates the core 1 O-glycan Gal-beta1-3GalNAc-alpha1-Ser/Thr (T antigen), which is a precursor for many extended O-glycans in glycoproteins (PubMed:11677243). Plays a central role in many processes, such as angiogenesis, thrombopoiesis and kidney homeostasis development (By similarity)
73	GT-A	GT31-Glt	GT31-Glt_C1GALT	C1GALT1C1	Q96EU7	C1GALT1-specific chaperone 1	COSMC	C38H2-like protein 1;Core 1 beta1,3-galactosyltransferase 2;Core 1 beta3-galactosyltransferase-specific molecular chaperone	Probable chaperone required for the generation of 1 O-glycan Gal-beta1-3GalNAc-alpha1-Ser/Thr (T antigen), which is a precursor for many extended O-glycans in glycoproteins. Probably acts as a specific molecular chaperone assisting the folding/stability of core 1 beta-3-galactosyltransferase (C1GALT1)
74	GT-A	GT31-Glt	GT31-Glt_C1GALT	C1GALT1C1L	P0DN25	C1GALT1-specific chaperone 1-like protein			
75	GT-A	GT32	GT32-3	A4GNT	Q9UNA3	Alpha-1,4-N-acetylglucosaminyltransferase			Catalyzes the transfer of N-acetylglucosamine (GlcNAc) to core 2 branched O-glycans (PubMed:10430883). Necessary for the synthesis of type III mucin which is specifically produced in the stomach, duodenum, and pancreatic duct (PubMed:10430883). May protect against inflammation-associated gastric adenocarcinomas (By similarity)
76	GT-A	GT32	GT32-3	A4GALT	Q9NPC4	Lactosylceramide 4-alpha-galactosyltransferase	A14GALT;A4GALT1	Alpha-1,4-N-acetylglucosaminyltransferase;Alpha-1,4-galactosyltransferase;Alpha4Gal-T1;CD77 synthase;Globotriaosylceramide synthase;P1/Pk synthase;UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase	Catalyzes the transfer of galactose from UDP-alpha-D-galactose to lactosylceramide/beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide(d18:1(4E)) to produce globotriaosylceramide/globoside Gb3Cer (d18:1(4E)) (PubMed:10748143). Also able to transfer galactose to galactosylceramide/beta-D-Gal-(1<->1')-Cer (PubMed:10748143). Globoside Gb3Cer is a glycosphingolipid of the globo serie, one of the major types of neutral root structures of glycosphingolipids, that constitute a significant portion of mammalian cell membranes (Probable). Globotriaosylceramide/globoside Gb3Cer in blood and tissue cell membranes is the antigen Pk of blood histogroup P (PubMed:10747952);(Microbial infection) Globotriaosylceramide is one of the cellular ligands for bacterial verotoxins
77	GT-A	GT43	GT43-B3GAT1	B3GAT1	Q9P2W7	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1	GLCATP	Beta-1,3-glucuronyltransferase 1;Glucuronosyltransferase P;UDP-GlcUA:glycoprotein beta-1,3-glucuronyltransferase	Involved in the biosynthesis of L2/HNK-1 carbohydrate epitope on glycoproteins. Can also play a role in glycosaminoglycan biosynthesis. Substrates include asialo-orosomucoid (ASOR), asialo-fetuin, and asialo-neural cell adhesion molecule. Requires sphingomyelin for activity: stearoyl-sphingomyelin was the most effective, followed by palmitoyl-sphingomyelin and lignoceroyl-sphingomyelin. Activity was demonstrated only for sphingomyelin with a saturated fatty acid and not for that with an unsaturated fatty acid, regardless of the length of the acyl group
78	GT-A	GT43	GT43-B3GAT2	B3GAT2	Q9NPZ5	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2	GLCATS;KIAA1963	Beta-1,3-glucuronyltransferase 2;GlcAT-D;UDP-glucuronosyltransferase S	Involved in the biosynthesis of L2/HNK-1 carbohydrate epitope on both glycolipids and glycoproteins
79	GT-A	GT43	GT43-B3GAT3	B3GAT3	O94766	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3		Beta-1,3-glucuronyltransferase 3;Glucuronosyltransferase I;UDP-GlcUA:Gal beta-1,3-Gal-R glucuronyltransferase	Glycosaminoglycans biosynthesis (PubMed:25893793). Involved in forming the linkage tetrasaccharide present in heparan sulfate and chondroitin sulfate. Transfers a glucuronic acid moiety from the uridine diphosphate-glucuronic acid (UDP-GlcUA) to the common linkage region trisaccharide Gal-beta-1,3-Gal-beta-1,4-Xyl covalently bound to a Ser residue at the glycosaminylglycan attachment site of proteoglycans. Can also play a role in the biosynthesis of l2/HNK-1 carbohydrate epitope on glycoproteins. Shows strict specificity for Gal-beta-1,3-Gal-beta-1,4-Xyl, exhibiting negligible incorporation into other galactoside substrates including Galbeta1-3Gal beta1-O-benzyl, Galbeta1-4GlcNAc and Galbeta1-4Glc. Stimulates 2-phosphoxylose phosphatase activity of PXYLP1 in presence of uridine diphosphate-glucuronic acid (UDP-GlcUA) during completion of linkage region formation (PubMed:24425863)
80	GT-A	GT49	GT49-B4GAT1like	B4GAT1	O43505	Beta-1,4-glucuronyltransferase 1	B3GNT1;B3GNT6	I-beta-1,3-N-acetylglucosaminyltransferase;N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase;Poly-N-acetyllactosamine extension enzyme;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	Beta-1,4-glucuronyltransferase involved in O-mannosylation of alpha-dystroglycan (DAG1) (PubMed:19587235, PubMed:23359570, PubMed:25279697, PubMed:25279699). Transfers a glucuronic acid (GlcA) residue onto a xylose (Xyl) acceptor to produce the glucuronyl-beta-1,4-xylose-beta disaccharide primer, which is further elongated by LARGE1, during synthesis of phosphorylated O-mannosyl glycan (PubMed:25279697, PubMed:25279699). Phosphorylated O-mannosyl glycan is a carbohydrate structure present in alpha-dystroglycan (DAG1), which is required for binding laminin G-like domain-containing extracellular proteins with high affinity (PubMed:25279697, PubMed:25279699). Required for axon guidance; via its function in O-mannosylation of alpha-dystroglycan (DAG1) (By similarity)
81	GT-A	GT49	GT49-LARGE	LARGE2~b	Q8N3Y3	Xylosyl- and glucuronyltransferase LARGE2	GYLTL1B	Glycosyltransferase-like 1B;LARGE xylosyl- and glucuronyltransferase 2	Bifunctional glycosyltransferase with both alpha-1,3-xylosyltransferase and beta-1,3-glucuronyltransferase activities involved in the maturation of alpha-dystroglycan (DAG1) by glycosylation leading to DAG1 binding to laminin G-like domain-containing extracellular proteins with high affinity and in a phosphorylated-O-mannosyl trisaccharide dependent manner (PubMed:15661757, PubMed:15752776, PubMed:25138275). Elongates the glucuronyl-beta-1,4-xylose-beta disaccharide primer structure by adding repeating units [-3-Xylose-alpha-1,3-GlcA-beta-1-] to produce a heteropolysaccharide (By similarity). Supports the maturation of DAG1 more effectively than LARGE1 (PubMed:15752776). In addition, can modify both heparan sulfate (HS)- and chondroitin/dermatan sulfate (CS/DS)-proteoglycans (PGs), namely GPC4, with a glycosaminoglycan (GAG)-like polysaccharide composed of xylose and glucuronic acid to confer laminin binding (By similarity)
82	GT-A	GT49	GT49-LARGE	LARGE1~b	O95461	Xylosyl- and glucuronyltransferase LARGE1	KIAA0609;LARGE	Acetylglucosaminyltransferase-like 1A;Glycosyltransferase-like protein;LARGE xylosyl- and glucuronyltransferase 1	Bifunctional glycosyltransferase with both alpha-1,3-xylosyltransferase and beta-1,3-glucuronyltransferase activities involved in the maturation of alpha-dystroglycan (DAG1) by glycosylation leading to DAG1 binding to laminin G-like domain-containing extracellular proteins with high affinity (PubMed:15661757, PubMed:15752776, PubMed:21987822, PubMed:22223806, PubMed:23125099, PubMed:25279697, PubMed:25279699). Elongates the glucuronyl-beta-1,4-xylose-beta disaccharide primer structure initiated by B4GAT1 by adding repeating units [-3-Xylose-alpha-1,3-GlcA-beta-1-] to produce a heteropolysaccharide (PubMed:22223806, PubMed:23125099, PubMed:25138275, PubMed:25279697, PubMed:25279699, PubMed:32975514). Requires the phosphorylation of core M3 (O-mannosyl trisaccharide) by POMK to elongate the glucuronyl-beta-1,4-xylose-beta disaccharide primer (PubMed:21987822). Plays a key role in skeletal muscle function and regeneration (By similarity)
83	GT-A	GT54	GT54-MGAT4AB	MGAT4A	Q9UM21	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A		N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa;UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa	Glycosyltransferase that catalyze the transfer of GlcNAc from UDP-GlcNAc to the GlcNAcbeta1-2Manalpha1-3 arm of the core structure of N-linked glycans through a beta1-4 linkage and participates in the production of tri- and tetra-antennary N-linked sugar chains (PubMed:17006639). Involved in glucose transport by mediating SLC2A2/GLUT2 glycosylation, thereby controlling cell-surface expression of SLC2A2 in pancreatic beta cells (By similarity)
84	GT-A	GT54	GT54-MGAT4AB	MGAT4B	Q9UQ53	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B		N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVb;UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVb	Glycosyltransferase that catalyzes the transfer of GlcNAc from UDP-GlcNAc to the GlcNAcbeta1-2Manalpha1-3 arm of the core structure of N-linked glycans through a beta1-4 linkage and participates in the production of tri- and tetra-antennary N-linked sugar chains (PubMed:10372966, PubMed:17006639). Prefers complex-type N-glycans over hybrid-types (PubMed:17006639). Has lower affinities for donors or acceptors than MGAT4A, suggesting that, under physiological conditions, it is not the main contributor in N-glycan biosynthesis (PubMed:17006639)
85	GT-A	GT54	GT54-MGAT4C	MGAT4C	Q9UBM8	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C		N-acetylglucosaminyltransferase IV homolog;N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVc;UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVc	Glycosyltransferase that participates in the transfer of N-acetylglucosamine (GlcNAc) to the core mannose residues of N-linked glycans. Catalyzes the formation of the GlcNAcbeta1-4 branch on the GlcNAcbeta1-2Manalpha1-3 arm of the core structure of N-linked glycans. Essential for the production of tri- and tetra-antennary N-linked sugar chains (By similarity). Does not catalyze the transfer of GlcNAc to the Manalpha1-6 arm to form GlcNAcBeta1-4Manalpha1-6 linkage ('GnT-VI' activity)
86	GT-A	GT6	GT6-A3GALT	A3GALT2	U3KPV4	Alpha-1,3-galactosyltransferase 2	A3GALT2P;IGBS3S	Isoglobotriaosylceramide synthase	Synthesizes the galactose-alpha(1,3)-galactose group on the glycosphingolipid isoglobotrihexosylceramide or isogloboside 3 (iGb3) by catalyzing the transfer of galactose from UDP-Galactose to its acceptor molecule Gal-beta-1,4-Glc-ceramide. Can also catalyze the addition of galactose to iGb3 itself to form polygalactose structures
